claim_id,main_text_location,claim,primary_figure,source_data_sheets,public_release_scripts,verification_status,current_risk,notes
C01,Introduction/Methods lines 19-35 and 97-109,Route-resolved evidence graphs separate donor identity from organizational role and score prespecified donor-role maps under source-balanced support with dependency collapse.,Figure 1,Vita_index; unit_granularity; route_space_defense; source_profile; source_layer_profile,run_route_graph_case.py,TEXT_AND_DATA_PRESENT,Final Figure 1 asset exists; author visual review pending.,Core framework definition is textually and mathematically present; Python-rendered concept figure now exists.
C02,Results lines 39-45,"In eukaryogenesis, the prespecified host-scaffold / alphaproteobacterial-energetic / transition-mosaic map ranks first after source-equal scoring and audit, with support 0.769 and margin 0.355.",Figure 2,route_rank_audit; source_rates_audit; leave_source_audit; leave_layer_audit; subset_robustness; audit_overlay,run_routeB_expanded_computational_evidence.py; run_route_graph_case.py,TEXT_AND_DATA_PRESENT,Final Figure 2 asset exists; method-dense but acceptable for current branch.,Source Data contains route-rank and source-rate tables; provisional filename removed from working figure folder.
C03,Results line 43,Continuous donor-role modelling supports the same qualitative route organization without requiring a hard one-to-one bijection.,Figure 2,continuous_role_matrix; continuous_top_roles; continuous_bootstrap; calc_prob_summary; calc_prob_routes; calc_prob_donor_diag,run_routeB_computational_upgrades.py,TEXT_AND_DATA_PRESENT,Final Figure 2 asset exists; method-dense but acceptable for current branch.,Used to address critique that six bijections are too narrow; final Figure 2 asset exists.
C04,Results line 45 and Figure 4 legend,"The eukaryogenesis route signal remains stable under hierarchical resampling, projected audit-label noise, Shapley/source contribution analysis and adversarial row redirection.",Figure 4,calc_hier_summary; calc_hier_draws; calc_source_shapley; calc_layer_shapley; calc_row_adv_summary; calc_row_adv_selected; calc_adversarial_summary; calc_targeted_shift; calc_uniform_noise,run_routeB_hierarchical_resampling_and_shapley.py; run_routeB_row_level_adversarial.py; run_routeB_adversarial_counterfactual.py,TEXT_AND_DATA_PRESENT,Final Figure 4 asset exists; robustness figure remains method-dense by design.,Supports conservative inference but should not be described as proof.
C05,Results lines 49-51,"Expanded Fe-S phylogenies support localized energetic incorporation: mitochondrial-integration markers show alphaproteobacterial enrichment, whereas cytosolic CIA markers do not.",Figure 3,fes_marker_manifest; fes_retrieval; fes_full_trees; fes_fixed_rerun; fes_compartment; fes_marker_readout; FeS_readout,Source Data tables and Figure 3 render script present; no one-command public raw-tree reconstruction claimed for this support layer,TEXT_AND_DATA_PRESENT,Support layer is traceable from Source Data and Figure 3 rendering; full raw tree reconstruction is not claimed as a one-command public rebuild.,"Evidence tables and Figure 3 render script are present. Keep methods wording explicit that this is a support-layer phylogenetic screen, not a fully automated raw-tree reconstruction."
C06,Results line 53,Focused eukaryogenesis AF3 screens support predicted structural plausibility for selected local energetic/Fe-S interfaces while unrelated scaffold-energy decoys remain low after confidence gating.,Figure 3,AF3_FeS_pairs; AF3_ATP_pairs; AF3_controls; AF3_integrated_metrics; af3_confidence; af3_interface_metrics; af3_digest; AF3_integrated_metrics_tsv; AF3_negative_controls_tsv,Source Data tables and Figure 3 render script present; eukaryogenesis AF3 raw generation/post-processing not claimed as one-command public rebuild,TEXT_AND_DATA_PRESENT,Support layer is traceable from Source Data and Figure 3 rendering; eukaryogenesis AF3 predictions remain prediction-limited.,"Keep wording as predicted-interface support, not experimental validation or physical proof of ancient binding."
C07,Results lines 57-61,The SOX-HGT transfer case passes preflight gates and the prespecified lineage-core / HGT-pathway / mobile-context route ranks first with support 1.000 and margin 0.309.,Figure 5,SOX_evidence_v2; SOX_summary; SOX_routes; SOX_leave_source; SOX_perm_nulls,build_sox_evidence_units_v2_from_public_tables.py; run_route_graph_case.py,TEXT_AND_DATA_PRESENT,Final Figure 5 asset exists; outdated provisional file removed from working figure folder.,SOX transfer-case figure rebuilt without next-step/outdated text.
C08,Results lines 63-65,"SOX annotation stress preserves the route result after excluding a low-confidence dsrABC rare-presence row, while source-by-layer null degeneracy defines a boundary.",Figure 5,SOX_ann_summary; SOX_ann_flagged; SOX_stress_summary; SOX_stress_leave; SOX_stress_perm,build_sox_annotation_crosscheck.py; run_route_graph_case.py,TEXT_AND_DATA_PRESENT,Final Figure 5 asset exists; source-by-layer null degeneracy retained as boundary condition.,Annotation-stress and null-boundary tables are present; final Figure 5 asset exists.
C09,Results lines 69-75,"SOX-AF3 screens support route-relevant assemblies over unrelated housekeeping decoys, while Tier 2 identifies a moderate mobile-boundary control and prevents a blanket incompatibility claim.",Figure 6,SOX_AF3_FINAL; SOX_AF3_FAMILY_GATE; SOX_AF3_TIER2; SOX_AF3_COMBINED; SOX-AF3 processed CSVs,build_sox_af3_json_inputs.py; make_sox_af3_server_packet.py; summarize_sox_af3_results.py; evaluate_sox_af3_gates.py; prepare_sox_af3_tier2_targets.py,TEXT_AND_DATA_PRESENT,Final Figure 6 asset exists; keep claim prediction-limited and boundary-aware.,SOX-AF3 Tier 2 boundary screen now included in Figure 6 and Source Data.
C10,Results lines 75-79 and Discussion lines 89-93,The framework reports failure boundaries rather than forcing every subset to support the route model; eukaryogenesis narrow mechanistic subset and SOX source-by-layer null define limits.,Figure 4 and Figure 5,subset_robustness; calc_future_boundary; calc_accum_summary; SOX_stress_perm; SOX_perm_nulls,run_routeB_evidence_accumulation_forecast.py; run_route_graph_case.py,TEXT_AND_DATA_PRESENT,Final Figure 4 and Figure 5 assets exist; failure-boundary framing retained.,Boundary claims remain textually and data linked; do not overstate as universal proof.
